Well_Name,Field,Reservoir,Panel,Layer,EASTING,NORTHING,Coordinate_Unit,Pressure,Pressure_Measurement_Date,Pressure_Map_Reference_Date,Net_Sand,HC_Thickness,PHI,KH,Permeability,Sw,Custom_Index,Well_Type,Well_Status
RMS-001,Rumaila,RMS,North,Upper,425000.0,3365000.0,m,3285.0,2025-03-14,2026-01-01,34,24,0.24,820,150,0.28,1.52,Producer,Active
RMS-002,Rumaila,RMS,North,Lower,426500.0,3365300.0,m,3298.0,2025-04-02,2026-01-01,35,25,0.245,855,157,0.27,1.58,Producer,Active
RMS-003,Rumaila,RMS,North,Upper,428100.0,3364900.0,m,3310.0,2025-02-18,2026-01-01,36,26,0.25,890,164,0.26,1.64,Injector,Active
RMS-004,Rumaila,RMS,North,Lower,429600.0,3365550.0,m,3302.0,2025-05-09,2026-01-01,37,27,0.255,925,171,0.25,1.7,Producer,Active
RMS-005,Rumaila,RMS,North,Upper,431200.0,3365150.0,m,3326.0,2025-06-11,2026-01-01,38,24,0.26,960,178,0.24,1.76,Producer,Active
RMS-006,Rumaila,RMS,North,Lower,432700.0,3365800.0,m,3315.0,2025-01-24,2026-01-01,34,25,0.24,995,185,0.23,1.82,Injector,Active
RMS-007,Rumaila,RMS,North,Upper,432700.0,3365800.0,m,3324.0,2024-12-08,2026-01-01,35,26,0.245,1030,192,0.28,1.88,Producer,Shut-in
RMS-008,Rumaila,RMS,North,Lower,434200.0,3365400.0,m,3338.0,2025-07-20,2026-01-01,36,27,0.25,1065,199,0.27,1.94,Producer,Active
RMS-009,Rumaila,RMS,North,Upper,435700.0,3366100.0,m,3347.0,2025-08-04,2026-01-01,37,24,0.255,1100,206,0.26,2.0,Injector,Active
RMS-010,Rumaila,RMS,North,Lower,436800.0,3365700.0,m,3331.0,2025-03-29,2026-01-01,38,25,0.26,1135,213,0.25,2.06,Producer,Active
RMS-011,Rumaila,RMS,North,Upper,425800.0,3366500.0,m,3358.0,2025-09-15,2026-01-01,34,26,0.24,1170,220,0.24,2.12,Producer,Active
RMS-012,Rumaila,RMS,North,Lower,427600.0,3366800.0,m,3365.0,2025-10-03,2026-01-01,35,27,0.245,1205,227,0.23,2.18,Injector,Active
RMS-013,Rumaila,RMS,North,Upper,430500.0,3366400.0,m,3342.0,2025-05-04,2026-01-01,36,24,0.25,1240,234,0.28,2.24,Producer,Active
RMS-014,Rumaila,RMS,North,Lower,434600.0,3366900.0,m,3372.0,2025-11-12,2026-01-01,37,25,0.255,1275,241,0.27,2.3,Producer,Shut-in
RMS-015,Rumaila,RMS,Central,Upper,425200.0,3362450.0,m,3035.0,2025-03-14,2026-01-01,28,19,0.21,560,102,0.34,1.18,Producer,Active
RMS-016,Rumaila,RMS,Central,Lower,426800.0,3362750.0,m,3052.0,2025-04-02,2026-01-01,29,20,0.215,595,109,0.33,1.24,Producer,Active
RMS-017,Rumaila,RMS,Central,Upper,428300.0,3362300.0,m,3046.0,2025-02-18,2026-01-01,30,21,0.22,630,116,0.32,1.3,Injector,Active
RMS-018,Rumaila,RMS,Central,Lower,429900.0,3363050.0,m,3068.0,2025-05-09,2026-01-01,31,22,0.225,665,123,0.31,1.36,Producer,Active
RMS-019,Rumaila,RMS,Central,Upper,431400.0,3362600.0,m,3075.0,2025-06-11,2026-01-01,32,19,0.23,700,130,0.3,1.42,Producer,Active
RMS-020,Rumaila,RMS,Central,Lower,433000.0,3363300.0,m,3600.0,2025-01-24,2026-01-01,28,20,0.21,735,137,0.29,1.48,Injector,Active
RMS-021,Rumaila,RMS,Central,Upper,434500.0,3362850.0,m,3091.0,2024-12-08,2026-01-01,29,21,0.215,770,144,0.34,1.54,Producer,Shut-in
RMS-022,Rumaila,RMS,Central,Lower,436100.0,3363600.0,m,,2025-07-20,2026-01-01,30,22,0.22,805,151,0.33,1.6,Producer,Active
RMS-023,Rumaila,RMS,Central,Upper,426000.0,3363900.0,m,3104.0,2025-08-04,2026-01-01,31,19,0.225,840,158,0.32,1.66,Injector,Active
RMS-024,Rumaila,RMS,Central,Lower,427800.0,3364300.0,m,3088.0,2025-03-29,2026-01-01,32,20,0.23,875,165,0.31,1.72,Producer,Active
RMS-025,Rumaila,RMS,Central,Upper,430000.0,3364050.0,m,3118.0,2025-09-15,2026-01-01,28,21,0.21,910,172,0.3,1.78,Producer,Active
RMS-026,Rumaila,RMS,Central,Lower,432300.0,3364400.0,m,3127.0,2025-10-03,2026-01-01,29,22,0.215,945,179,0.29,1.84,Injector,Active
RMS-027,Rumaila,RMS,Central,Upper,434700.0,3364100.0,m,3109.0,2025-05-04,2026-01-01,30,19,0.22,980,186,0.34,1.9,Producer,Active
RMS-028,Rumaila,RMS,Central,Lower,436700.0,3364350.0,m,3061.0,2025-11-12,2026-01-01,31,20,0.225,1015,193,0.33,1.96,Producer,Shut-in
RMS-029,Rumaila,RMS,South,Upper,425150.0,3359900.0,m,2688.0,2025-03-14,2026-01-01,21,12,0.18,300,55,0.43,0.78,Producer,Active
RMS-030,Rumaila,RMS,South,Lower,426700.0,3360200.0,m,2702.0,2025-04-02,2026-01-01,22,13,0.185,335,62,0.42,0.84,Producer,Active
RMS-031,Rumaila,RMS,South,Upper,428250.0,3359800.0,m,2695.0,2025-02-18,2026-01-01,23,14,0.19,370,69,0.41,0.9,Injector,Active
RMS-032,Rumaila,RMS,South,Lower,429800.0,3360550.0,m,2716.0,2025-05-09,2026-01-01,24,15,0.195,405,76,0.4,0.96,Producer,Active
RMS-033,Rumaila,RMS,South,Upper,431350.0,3360100.0,m,2724.0,2025-06-11,2026-01-01,25,12,0.2,440,83,0.39,1.02,Producer,Active
RMS-034,Rumaila,RMS,South,Lower,432900.0,3360850.0,m,2732.0,2025-01-24,2026-01-01,21,13,0.18,475,90,0.38,1.08,Injector,Active
RMS-035,Rumaila,RMS,South,Upper,434450.0,3360350.0,m,2710.0,2024-12-08,2026-01-01,22,14,0.185,510,97,0.43,1.14,Producer,Shut-in
RMS-036,Rumaila,RMS,South,Lower,436000.0,3361100.0,m,2745.0,2025-07-20,2026-01-01,23,15,0.19,545,104,0.42,1.2,Producer,Active
RMS-037,Rumaila,RMS,South,Upper,425900.0,3361450.0,m,2665.0,2025-08-04,2026-01-01,24,12,0.195,580,111,0.41,1.26,Injector,Active
RMS-038,Rumaila,RMS,South,Lower,427500.0,3361750.0,m,2752.0,2025-03-29,2026-01-01,25,13,0.2,615,118,0.4,1.32,Producer,Active
RMS-039,Rumaila,RMS,South,Upper,429300.0,3361300.0,m,2738.0,2025-09-15,2026-01-01,21,14,0.18,650,125,0.39,1.38,Producer,Active
RMS-040,Rumaila,RMS,South,Lower,431100.0,3361850.0,m,2760.0,2025-10-03,2026-01-01,22,15,0.185,685,132,0.38,1.44,Injector,Active
RMS-041,Rumaila,RMS,South,Upper,,3361650.0,m,2728.0,2025-05-04,2026-01-01,23,12,0.19,720,139,0.43,1.5,Producer,Active
RMS-042,Rumaila,RMS,South,Lower,436850.0,,m,2772.0,2025-11-12,2026-01-01,24,13,0.195,755,146,0.42,1.56,Producer,Shut-in
